Ranking references with a star rating ,Downloading references from bibliographic databases websites ,Searching databases and websites from within JabRef ,Sorting references into groups ,Writing Comments on references ,Replacing strings in references ,Adding reference based on PDF metadata ,Adding a PDF URL to a reference ,Editing reference details  e g author  year  ,Editing document type ,Renaming attached PDFs according to a pattern ,Adding new details to reference  e g  ISBN  page numbers  ,Cleaning up references automatically ,Viewing PDF in JabRef ,Checking formal correctness of references ,Merging two references into one ,Deleting references ,Searching for duplicate references ,Sorting PDFs into subfolders ,Downloading references from a shared database ,Uploading references to a shared database ,Exporting references in standard data formats  e g   RIS  BibTe  ,Directly exporting references to text processing software ,Changing Preferences ,Are.there.any.features.of.JabRef.that.you.often.use..which.were.not.listed.already.,Are.there.any.JabRef.features.or.functions..with.which.you.have.trouble.using..or.which.frustrate.you..If.so..please.state.the.feature.and.what.is.wrong.with.it.,Please.select.your.occupation.,What.text.processing.software.do.you.use.the.most.in.combination.with.JabRef.,How.many.references.does.your.biggest.JabRef.library.have..approximately..,Select.the.version.of.JabRef..that.you.use.at.the.moment...
not important at all,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,not very important,not important at all,I DON'T KNOW THE FEATURE,not important at all,not important at all,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,not important at all,pretty important,not very important,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,not important at all,somewhat important,"","sorting references into groups. Difficult to add, remove multiple references into multiple groups and to sort groups and sub-groups",Student (Bachelor/Master),LaTeX/LyX,50,4.3.1
not very important,absolutely crucial,somewhat important,pretty important,not very important,I DON'T KNOW THE FEATURE,not very important,absolutely crucial,somewhat important,somewhat important,not very important,pretty important,not very important,somewhat important,absolutely crucial,somewhat important,pretty important,somewhat important,not important at all,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,not very important,pretty important,Full text download,"",PhD Student/PostDoc,LaTeX/LyX,140,4.3.1
somewhat important,pretty important,pretty important,absolutely crucial,not very important,not very important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,not very important,somewhat important,I DON'T KNOW THE FEATURE,not very important,pretty important,not very important,I DON'T KNOW THE FEATURE,somewhat important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,not very important,absolutely crucial,"",Would like to have dynamic groups by author,PhD Student/PostDoc,LaTeX/LyX,150,4.3.1
not very important,somewhat important,not important at all,pretty important,pretty important,not very important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,pretty important,somewhat important,not important at all,pretty important,somewhat important,pretty important,pretty important,somewhat important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,not very important,absolutely crucial,"","",Student (Bachelor/Master),LaTeX/LyX,300,4.1
not important at all,pretty important,pretty important,pretty important,pretty important,pretty important,somewhat important,pretty important,pretty important,pretty important,pretty important,pretty important,pretty important,somewhat important,pretty important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,somewhat important,pretty important,pretty important,pretty important,"","",Researcher (permanent position),LaTeX/LyX,50,4.3.1
not very important,somewhat important,not very important,absolutely crucial,pretty important,somewhat important,somewhat important,absolutely crucial,somewhat important,not very important,pretty important,pretty important,somewhat important,somewhat important,pretty important,pretty important,somewhat important,pretty important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,not very important,somewhat important,Changing reference by the bibtex interface,"I don't exactly know how to do it but I would like that creating groups/subgroups  were more straightforward. Also, I would like the visualization of these groups/subgroups to be accessed in a different way (perhaps pie charts?).",PhD Student/PostDoc,OpenOffice/LibreOffice,495,4.3.1
not very important,somewhat important,somewhat important,somewhat important,somewhat important,I DON'T KNOW THE FEATURE,absolutely crucial,pretty important,absolutely crucial,somewhat important,pretty important,somewhat important,absolutely crucial,not very important,absolutely crucial,somewhat important,somewhat important,pretty important,somewhat important,somewhat important,somewhat important,pretty important,absolutely crucial,pretty important,"Generating bibtex citeation keys; renaming and moving pdfs (""cleanup function""). ","There was a large learning curve to get it set up as I like, but now that I have learned it I'm OK with it. ",PhD Student/PostDoc,"Sublime Text, using pandoc markdown. ",600,4.2
not important at all,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,not very important,absolutely crucial,somewhat important,somewhat important,pretty important,absolutely crucial,pretty important,not very important,pretty important,pretty important,absolutely crucial,pretty important,not very important,not very important,not very important,somewhat important,not very important,absolutely crucial,auto-generation of the BibTeX key,"fetch fulltext pdf documents. Sometimes the downloaded file has no extension of "".pdf"".",Researcher (permanent position),LaTeX/LyX,7000,4.3.1
pretty important,pretty important,somewhat important,pretty important,pretty important,somewhat important,not very important,absolutely crucial,absolutely crucial,pretty important,not very important,absolutely crucial,somewhat important,not important at all,pretty important,somewhat important,somewhat important,somewhat important,not important at all,not important at all,not important at all,somewhat important,not very important,pretty important,"","",Researcher (permanent position),LaTeX/LyX,2000,4.3.1
not very important,pretty important,pretty important,pretty important,pretty important,somewhat important,pretty important,somewhat important,absolutely crucial,pretty important,pretty important,absolutely crucial,somewhat important,pretty important,pretty important,pretty important,pretty important,pretty important,somewhat important,somewhat important,not very important,pretty important,pretty important,pretty important,"If one doesn't use latex, a more liberal mode should be possible. There should be the possibility to override the most rigid presettings e.g. in the bibtex and import filters - like capitalization of title words should not be mandatory. ","The import and bibtex filter syntax is quite complex if you don't have much time to investigate. So since the change in import filters I can't rename my pdfs for example author (& author2) [et al.] year - title[without capitalization] (journal/address), wherein e.g. spaces mean spaces...",Researcher (permanent position),OpenOffice/LibreOffice,500,5.0 dev
not very important,absolutely crucial,not very important,somewhat important,not very important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,somewhat important,I DON'T KNOW THE FEATURE,somewhat important,somewhat important,not very important,not important at all,not very important,not very important,not very important,not very important,not important at all,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,not very important,not important at all,pretty important,Please keep supporting BibTex (not biblatex),"1. Import a reference from Safari (how?), 2. adding the fulltext pdf and epub to the reference either now, or later when I am in the university network again",PhD Student/PostDoc,LaTeX/LyX,750,4.3.1
not very important,absolutely crucial,not very important,pretty important,pretty important,I DON'T KNOW THE FEATURE,pretty important,pretty important,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,somewhat important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,pretty important,not important at all,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,"","",PhD Student/PostDoc,LaTeX/LyX,100,4.3.1
pretty important,absolutely crucial,pretty important,pretty important,pretty important,not very important,pretty important,absolutely crucial,not very important,not very important,not important at all,not very important,pretty important,not very important,pretty important,not very important,pretty important,absolutely crucial,somewhat important,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,pretty important,"I know it is not why JabRef is intended for, but being able to annotate pdfs files and save notes (like Xournal or Okular) would be really great.",I was straggling to integrate jabref and libreoffice. Inserting references as you write a text is something very productive for science (or whatever) document with a  bibliography at the final page.,Researcher (permanent position),OpenOffice/LibreOffice,2000,4.3.1
not very important,somewhat important,pretty important,not very important,not very important,somewhat important,somewhat important,pretty important,I DON'T KNOW THE FEATURE,not very important,pretty important,I DON'T KNOW THE FEATURE,somewhat important,not very important,pretty important,not very important,not very important,somewhat important,not very important,not very important,not very important,not very important,pretty important,I DON'T KNOW THE FEATURE,"","",Researcher (permanent position),LaTeX/LyX,5000,4.1
somewhat important,not important at all,not very important,somewhat important,not important at all,somewhat important,somewhat important,somewhat important,not very important,not very important,somewhat important,not very important,somewhat important,not very important,pretty important,not very important,absolutely crucial,absolutely crucial,not important at all,not important at all,not important at all,pretty important,pretty important,absolutely crucial,None,None,PhD Student/PostDoc,LaTeX/LyX,800,4.3.1
not very important,pretty important,absolutely crucial,not very important,absolutely crucial,I DON'T KNOW THE FEATURE,pretty important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,pretty important,not important at all,absolutely crucial,absolutely crucial,absolutely crucial,Automatically attaching PDFs based on name of file / bibtex key. ,"I love the ability to add references using arXiv or DOI numbers.  However, sometimes I get a ""server not found"" kind of error, and it appears to be different based on which computer I'm using despite the fact that they are nearly identical installations.

Also, please please please keep the ubuntu repo more up to date!",Researcher (permanent position),LaTeX/LyX,1154,4.1
somewhat important,absolutely crucial,pretty important,absolutely crucial,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,"",importing databases from Zotero,Non-Academic Researcher,Microsoft Word,5000,4.3.1
not important at all,somewhat important,somewhat important,pretty important,pretty important,not very important,somewhat important,absolutely crucial,absolutely crucial,pretty important,not important at all,absolutely crucial,I DON'T KNOW THE FEATURE,not important at all,pretty important,not very important,absolutely crucial,somewhat important,I DON'T KNOW THE FEATURE,not very important,not very important,absolutely crucial,not very important,somewhat important,"sorting references (mainly by date, journal title); searching for a particular reference by author or title; copying/pasting references from other JabRef libraries","",PhD Student/PostDoc,LaTeX/LyX,400,5.0 dev
I DON'T KNOW THE FEATURE,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,I DON'T KNOW THE FEATURE,somewhat important,pretty important,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,pretty important,not very important,absolutely crucial,pretty important,pretty important,pretty important,I DON'T KNOW THE FEATURE,pretty important,pretty important,absolutely crucial,absolutely crucial,pretty important,"","When copying the name of the author from the preview pane at the bottom, complete bibtex entry is copied instead of the name only.
Exporting references to standard formats like APA 6 is very old, so many problems. Updated the style files manually, still it needs manual editing later on. 
How to provide such updates for the community to use? There should be some standard formats supported and exportable to docx, odt etc. ",PhD Student/PostDoc,Microsoft Word,100,4.3.1
not very important,somewhat important,somewhat important,pretty important,absolutely crucial,somewhat important,not very important,pretty important,absolutely crucial,pretty important,not very important,absolutely crucial,somewhat important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,absolutely crucial,somewhat important,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,pretty important,pretty important,absolutely crucial,Clickable DOI links,Group coloration according to membership is buggy,Researcher (permanent position),LaTeX/LyX,200,4.3.1
not important at all,absolutely crucial,absolutely crucial,not important at all,absolutely crucial,pretty important,not very important,absolutely crucial,absolutely crucial,absolutely crucial,not very important,absolutely crucial,somewhat important,absolutely crucial,somewhat important,not very important,absolutely crucial,somewhat important,not important at all,somewhat important,somewhat important,absolutely crucial,absolutely crucial,absolutely crucial,Copying unformatted preview for use in emails or quick notes,"Crashes, freezes, can't edit preferences etc.  I use the daily builds.",Researcher (permanent position),Latex mostly; sometimes libreoffice.,4200,5.0 dev
not important at all,absolutely crucial,pretty important,not very important,somewhat important,pretty important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,absolutely crucial,pretty important,not very important,absolutely crucial,pretty important,somewhat important,absolutely crucial,not very important,pretty important,pretty important,absolutely crucial,pretty important,pretty important,"","",Researcher (permanent position),LaTeX/LyX,200,4.3.1
not important at all,pretty important,pretty important,somewhat important,somewhat important,somewhat important,pretty important,absolutely crucial,pretty important,pretty important,pretty important,pretty important,somewhat important,not important at all,pretty important,pretty important,pretty important,absolutely crucial,somewhat important,not important at all,not important at all,pretty important,not important at all,pretty important,"","",PhD Student/PostDoc,LaTeX/LyX,250,4.3.1
pretty important,somewhat important,somewhat important,absolutely crucial,pretty important,somewhat important,somewhat important,absolutely crucial,absolutely crucial,somewhat important,pretty important,absolutely crucial,somewhat important,not very important,absolutely crucial,somewhat important,absolutely crucial,pretty important,pretty important,pretty important,somewhat important,absolutely crucial,absolutely crucial,pretty important,Directly use JabRef bib file in Tex as ReferenceFile; importing Bibtex file; automatically generate Bibtex-Keys (!),A newly added refernce at first does not show up; only aber switching forth and back in the groups shows the reference,PhD Student/PostDoc,LaTeX/LyX,300,4.3.1
absolutely crucial,pretty important,absolutely crucial,absolutely crucial,not very important,pretty important,not very important,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,somewhat important,not important at all,absolutely crucial,somewhat important,not important at all,not very important,not important at all,not important at all,not very important,not important at all,somewhat important,absolutely crucial,absolutely crucial,"Previewing PDF annotations as a list in Jabref directly (especially in searching documents). This works on macOS with the combination of Bibdesk+Skim flawlessly, great stuff if one needs to do research.","The UI is cumbersome to watch and use (version 4 really dense to watch, version 5 full of empty and unused space), lack of possibilities to change of appearance, lack of interaction between Jabref and the PDF file linked with it (comments, annotations it contains). Jabref should learn a lot from Bibdesk IMHO.",PhD Student/PostDoc,"LaTeX, pandoc markdown, MS Word",10000,4.3.1
not important at all,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,I DON'T KNOW THE FEATURE,not very important,absolutely crucial,absolutely crucial,pretty important,pretty important,absolutely crucial,I DON'T KNOW THE FEATURE,not important at all,somewhat important,somewhat important,absolutely crucial,pretty important,not important at all,not important at all,not important at all,pretty important,not important at all,absolutely crucial,"","",PhD Student/PostDoc,OpenOffice/LibreOffice,3750,4.3.1
not very important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,not very important,somewhat important,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,pretty important,absolutely crucial,pretty important,absolutely crucial,not important at all,pretty important,somewhat important,somewhat important,pretty important,not very important,pretty important,pretty important,not very important,not important at all,somewhat important,"cleanup entries, Get data from DOI, Find unlinked files",file field and relative paths,PhD Student/PostDoc,LaTeX/LyX,396,4.3.1
not important at all,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,pretty important,not very important,absolutely crucial,absolutely crucial,not very important,not very important,absolutely crucial,pretty important,not important at all,somewhat important,not important at all,absolutely crucial,absolutely crucial,not very important,not important at all,not important at all,absolutely crucial,not important at all,pretty important,"Automatically assigning file links, export just selected references",I never grasped how to use the shared database.,PhD Student/PostDoc,LaTeX/LyX,300,4.3.1
absolutely crucial,absolutely crucial,pretty important,pretty important,absolutely crucial,pretty important,pretty important,pretty important,pretty important,somewhat important,pretty important,pretty important,somewhat important,not very important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,somewhat important,"",Using it on hdpi on Linux. The icons are very small and UI is not usable.,Researcher (permanent position),LaTeX/LyX,100,4.3
pretty important,absolutely crucial,not very important,absolutely crucial,somewhat important,not very important,not very important,pretty important,pretty important,pretty important,not very important,pretty important,pretty important,not very important,pretty important,not very important,absolutely crucial,pretty important,somewhat important,absolutely crucial,somewhat important,absolutely crucial,absolutely crucial,pretty important,"","",Student (Bachelor/Master),LaTeX/LyX,200,4.1
absolutely crucial,pretty important,somewhat important,not very important,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,somewhat important,absolutely crucial,I DON'T KNOW THE FEATURE,not important at all,not very important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,absolutely crucial,absolutely crucial,absolutely crucial,somewhat important,absolutely crucial,I DON'T KNOW THE FEATURE,absolutely crucial,I DON'T KNOW THE FEATURE,I DON'T KNOW THE FEATURE,"","",PhD Student/PostDoc,LaTeX/LyX,100,4.3
